"2016-10-22","H&amp;M; Landing","Premier","1/2 Day PM","29","1","Calico Bass"
"2016-10-22","H&amp;M; Landing","Premier","1/2 Day PM","29","41","Rockfish"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","2","Sand Bass"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","12","Sheephead"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","9","Calico Bass"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","14","Whitefish"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","5","Bonito"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","31","Rockfish"
"2016-10-22","Helgren's Oceanside Sportfishing","Sea Trek","3/4 Day<br><i>Local</i></br>","13","10","Red Rockfish"
"2016-10-22","Seaforth Sportfishing","Tribute","Overnight","33","28","Yellowfin Tuna"
"2016-10-22","Seaforth Sportfishing","Aztec","2 Day","27","1","Bluefin Tuna"
"2016-10-22","Seaforth Sportfishing","Aztec","2 Day","27","63","Yellowfin Tuna"
"2016-10-21","H&amp;M; Landing","Premier","1/2 Day PM","22","44","Rockfish"
"2016-10-21","Seaforth Sportfishing","San Diego","3/4 Day","10","21","Yellowtail"
"2016-10-21","Seaforth Sportfishing","San Diego","3/4 Day","10","1","Yellowfin Tuna"
"2016-10-21","Seaforth Sportfishing","Pride","Overnight","12","15","Yellowfin Tuna"
"2016-10-20","H&amp;M; Landing","Premier","1/2 Day PM","13","20","Rockfish"
"2016-10-20","Seaforth Sportfishing","San Diego","3/4 Day","25","6","Yellowtail"
"2016-10-20","Seaforth Sportfishing","Aztec","Overnight","22","31","Yellowfin Tuna"
"2016-10-20","Fisherman's Landing","Pacific Queen","1.5 Day","22","1","Bluefin Tuna"
"2016-10-20","Fisherman's Landing","Pacific Queen","1.5 Day","22","32","Yellowfin Tuna"
"2016-10-20","Seaforth Sportfishing","Pacific Star","3.5 Day","19","1","Bluefin Tuna"
"2016-10-20","Seaforth Sportfishing","Pacific Star","3.5 Day","19","50","Yellowtail"
"2016-10-20","Seaforth Sportfishing","Pacific Star","3.5 Day","19","95","Rockfish"
"2016-10-20","Seaforth Sportfishing","Pacific Star","3.5 Day","19","53","Yellowfin Tuna"
"2016-10-19","H&amp;M; Landing","Premier","1/2 Day PM","11","1","Sand Bass"
"2016-10-19","H&amp;M; Landing","Premier","1/2 Day PM","11","25","Rockfish"
"2016-10-19","Seaforth Sportfishing","Voyager","3/4 Day","8","2","Whitefish"
"2016-10-19","Seaforth Sportfishing","Voyager","3/4 Day","8","80","Rockfish"
"2016-10-19","Fisherman's Landing","Fortune","Overnight","0","1","Bluefin Tuna"
"2016-10-19","Fisherman's Landing","Fortune","Overnight","0","13","Yellowfin Tuna"
"2016-10-18","H&amp;M; Landing","Premier","1/2 Day PM<br><i>Local</i></br>","11","1","Sheephead"
"2016-10-18","H&amp;M; Landing","Premier","1/2 Day PM<br><i>Local</i></br>","11","1","Whitefish"
"2016-10-18","H&amp;M; Landing","Premier","1/2 Day PM<br><i>Local</i></br>","11","19","Rockfish"
"2016-10-18","Seaforth Sportfishing","Aztec","Overnight","26","2","Bluefin Tuna"
"2016-10-18","H&amp;M; Landing","Relentless","1.5 Day<br><i>Offshore</i></br>","11","9","Yellowtail"
"2016-10-18","H&amp;M; Landing","Relentless","1.5 Day<br><i>Offshore</i></br>","11","18","Yellowfin Tuna"
"2016-10-17","H&amp;M; Landing","Premier","1/2 Day PM","33","1","Whitefish"
"2016-10-17","H&amp;M; Landing","Premier","1/2 Day PM","33","35","Rockfish"
"2016-10-17","Seaforth Sportfishing","Tribute","Overnight","7","35","Yellowtail"
"2016-10-17","Point Loma Sportfishing","New Lo-An","1.5 Day","12","1","Yellowtail"
"2016-10-17","Point Loma Sportfishing","New Lo-An","1.5 Day","12","29","Yellowfin Tuna"
"2016-10-16","Seaforth Sportfishing","Sea Watch","1/2 Day PM","26","3","Sheephead"
"2016-10-16","Seaforth Sportfishing","Sea Watch","1/2 Day PM","26","87","Rockfish"
"2016-10-16","Seaforth Sportfishing","San Diego","3/4 Day","16","65","Yellowtail"
"2016-10-16","Seaforth Sportfishing","San Diego","3/4 Day","16","1","Yellowfin Tuna"
"2016-10-16","Seaforth Sportfishing","Tribute","Overnight","9","3","Yellowtail"
"2016-10-16","H&amp;M; Landing","Relentless","1.5 Day","20","58","Yellowtail"
"2016-10-16","Seaforth Sportfishing","Voyager","2 Day","11","33","Yellowfin Tuna"
"2016-10-16","H&amp;M; Landing","Topgun 80","2.5 Day","25","3","Bluefin Tuna"
"2016-10-16","H&amp;M; Landing","Topgun 80","2.5 Day","25","70","Yellowtail"
"2016-10-16","H&amp;M; Landing","Topgun 80","2.5 Day","25","65","Rockfish"
